idx,metaphor,expected,token_str,score
95,"sorry I made you stutter On May 31, 2017 at 8:52 am, Matthew says : Since you're a _ brick, I'll explain it to you.",dense,"['red', 'regular', 'brick', 'solid', 'common']","[0.1040164083242416, 0.0898056179285049, 0.0810097604990005, 0.0778470560908317, 0.0740283653140068]"
96,The descriptions of landscapes are _ loam.,rich,"['rich', 'common', 'thick', 'sandy', 'mud']","[0.2461782395839691, 0.0985495075583458, 0.0523022711277008, 0.0511248111724853, 0.0415573567152023]"
97,"She could only flounder gracelessly up to her elbows, her backbone is a _ noodle.",limp,"['stiff', 'tight', 'stubborn', 'thick', 'dry']","[0.1604761183261871, 0.067352183163166, 0.0488111898303031, 0.0367463640868663, 0.0218600463122129]"
98,Most people assume German cars are _ sunrise and French cars are considered as flaky as a croissant.,reliable,"['approaching', '[PAD]', 'nearing', 'near', 'at']","[0.2529718577861786, 0.1010345965623855, 0.0794133841991424, 0.0687056481838226, 0.0682049915194511]"
99,"We all are _ mice a full half-hour, and should have done so longer, only Joseph, having finished his chapter, got up and said that he must rouse the master for prayers and bed.",mute,"['blind', 'stubborn', 'desert', 'lazy', 'asleep']","[0.1394072771072387, 0.0493465326726436, 0.0425877124071121, 0.0381737388670444, 0.0335467271506786]"
100,"If I could have that, along with a little AJAX support, I'd be a _ lark.",happy,"['happy', 'perfect', 'lark', 'miserable', 'good']","[0.4131949543952942, 0.1457068026065826, 0.0620595328509807, 0.0532394982874393, 0.025597970932722]"
101,"Since his last words, he had remained a _ tomb. ",silent,"['silent', 'quiet', 'living', 'solitary', 'empty']","[0.4075389802455902, 0.0948430225253105, 0.0696931779384613, 0.0268625058233737, 0.0214803721755743]"
102,The continuous passage from one to the other was initially a _ succession of hot and cold showers and ultimately as enervating.,refreshing,"['continual', 'continuous', 'periodic', 'steady', 'alternating']","[0.3002576828002929, 0.1463302820920944, 0.1280621737241745, 0.105440579354763, 0.0309367142617702]"
103,"But like medicine, it did him good, and the food tasted better than it looked. After a while, the silence grew less tense, and they began to chat about the contrast between bloody-minded earnest Perugia, just visible on its wind-swept ridge as a distant smudge of grey, and Assisi, symbol of everything nice and pretty and kind. Assisi's pink stone made even its fortifications an _ illustration in a book of fairy tales.",innocent,"['interesting', 'innocent', 'attractive', 'exciting', 'excellent']","[0.4487042129039764, 0.0392646640539169, 0.0258022118359804, 0.0209162440150976, 0.0171556193381547]"
104,"Great creatures roamed the forest, some like bears, others like cattle reaching up on hind legs that were _ oaks to chew leaves and berries from the tops of the trees.",thick,"['like', 'thick', 'resemble', 'giant', 'ancient']","[0.2986730635166168, 0.2319670617580413, 0.0611178837716579, 0.0355172976851463, 0.0261343251913785]"
105,"The tentacles were momentarily _ rods, hurling their various cargoes around the room, before bunching up protectively in front of the abused Eye.",stiff,"['like', 'stiff', 'rigid', '[PAD]', 'pulling']","[0.2711556255817413, 0.0196272227913141, 0.0187315884977579, 0.017964482307434, 0.0179450307041406]"
106,"She smiled a small smile, which is _ rue that just curled the corners of her lips.",bitter,"['a', 'pure', 'fake', 'like', 'the']","[0.7717949151992798, 0.0346619598567485, 0.014416180551052, 0.0123215550556778, 0.0091377552598714]"
107,"The Welsh wanted none but valuable prisoners and had no interest in killing the others, since they would surely leave this place more nimbly and rapidly than the English survivors, and be the _ stars by the time another force looked for them.",inaccessible,"['only', 'lost', 'lone', 'dead', 'last']","[0.2080963551998138, 0.0604379847645759, 0.0575772896409034, 0.0476301647722721, 0.047604776918888]"
108,In Darcy's Utopia money will be _ coconuts in a country where they fall from the trees: it will cease to be a corrupting cause.,meaningless,"['sold', 'from', 'cheap', 'scattered', 'worthless']","[0.1231348067522049, 0.1183769404888153, 0.0644281655550003, 0.0462645068764686, 0.0445837154984474]"
109,"And I listen at the wall for sounds from Jancey, but it's a _ pillow and she's obviously gone to bed.",quiet,"['thick', 'soft', 'heavy', 'thin', 'throw']","[0.1837297677993774, 0.1623266190290451, 0.1466867923736572, 0.0539215467870235, 0.0348399579524993]"
110,He was a free and _ bird as he made sure to tell her and they clearly got along well.,single,"['loyal', 'free', 'happy', 'kind', 'just']","[0.2779340445995331, 0.1093096733093261, 0.1092802807688713, 0.0479096807539463, 0.0200401060283184]"
111,"Meredith, he said quietly, his voice was _ silk, your father ordered that his possessions should be burnt.",soft,"['like', 'smooth', 'soft', 'velvet', 'almost']","[0.7632198929786682, 0.1636931300163269, 0.0211210809648036, 0.0069206776097416, 0.0040361913852393]"
112,My hand was a _ football and throbbed with a pain that extended to the shoulder blade.,large,"['soccer', 'football', 'makeshift', 'cotton', 'rubber']","[0.126847505569458, 0.1075911670923233, 0.0647074580192565, 0.0347545593976974, 0.0320053398609161]"
113,"Her skin was _ milk, her eyes were green flecked with amber and rather slanted.",white,"['like', 'pure', 'white', 'pale', 'almost']","[0.2276643216609954, 0.2024338096380233, 0.1946551203727722, 0.0551990047097206, 0.0186958648264408]"
114,"And added my own selfish afterthought that the whores in Paris were the most skilled in the world, whilst cups of claret were _ water there.",cheap,"['drinking', 'cheap', 'flowing', 'available', 'sipping']","[0.3416406512260437, 0.2600577473640442, 0.0310303345322608, 0.025801658630371, 0.0224825348705053]"
115,"The African is a _ ploughox, each man can do the work in this clime of two or three of men like us.",strong,"['strong', 'skilled', 'master', 'natural', 'giant']","[0.1262539625167846, 0.0688224956393241, 0.0481920056045055, 0.0453798733651638, 0.0425619557499885]"
116,"Jealousy, he thought, was _ fear, the same dryness of the mouth, the thudding heart, the restlessness, which destroyed appetite and peace.",physical,"['like', 'pure', 'not', 'always', 'simply']","[0.2907986342906952, 0.0629798844456672, 0.0432944409549236, 0.0420306995511055, 0.0405644327402114]"
117,"This trowel is a _ knife or bayonet and will easily prize up any large stones, I have done this often even in rock-hard clay.",strong,"['sharp', 'small', 'powerful', 'large', 'long']","[0.1371780037879943, 0.0945812240242958, 0.0930392444133758, 0.080001950263977, 0.0580996684730052]"
118,My face was a _ tomato as I was shown to my seat.,red,"['red', 'tomato', 'bright', 'purple', 'blushed']","[0.696526288986206, 0.1866800040006637, 0.0707587748765945, 0.009280159138143, 0.0018746793502941]"
119,The sheets were _ blankets and Flit was the only thing that prevented the mosquitoes descending on us like vultures.,light,"['thick', 'mostly', 'heavy', 'thin', 'wool']","[0.0909747183322906, 0.078061044216156, 0.0594853609800338, 0.0497868657112121, 0.0476952381432056]"
120,"We had no means of communication with the people in the mountains, which to us were _ Tibet, and the doctor had not ventured there again in fact he was now in great danger.",remote,"['called', 'indeed', 'in', 'considered', 'neighboring']","[0.1807323992252349, 0.0798398554325103, 0.0744308531284332, 0.0448228456079959, 0.0398048907518386]"
121,"In spite of all this food, I was a _ rake and was as hungry as ever.",thin,"['thin', 'rake', 'poor', 'filthy', 'stubborn']","[0.1186608746647834, 0.0630674511194229, 0.0579812303185462, 0.0402328856289386, 0.0345887094736099]"
122,His voice had been the _ whisper of a breeze against silk.,faint,"['soft', 'faint', 'gentle', 'mere', 'warm']","[0.5905945897102356, 0.1141954883933067, 0.0542982034385204, 0.0243961941450834, 0.0193044990301132]"
123,Susan's face was _ snow and she was shaking with cold.,white,"['white', 'all', 'like', 'sheet', 'fresh']","[0.3965071439743042, 0.0873518660664558, 0.0320273824036121, 0.0306203290820121, 0.0253783203661441]"
124,"One would be the version to be found in the published research papers, those strange constrained pieces of writing whose conventions are _ sonnet, whose scientific account is always a set of clearly designed, unambiguously conducted and conclusive observations, building from earlier data and, in their final paragraphs pointing the way to future experiments.",rigid,"['[PAD]', 'rigid', 'a', 'every', 'the']","[0.1979170143604278, 0.1267854422330856, 0.0784341320395469, 0.0462770238518714, 0.0396658182144165]"
125,"His eyelashes were the _ teeth on a comb, extravagantly long, tar black, and his lids were gently slanted harbouring eyes of an electrifying blue.",thick,"['longest', 'finest', 'largest', 'thick', 'perfect']","[0.4847768247127533, 0.0716721266508102, 0.0635721459984779, 0.0431297533214092, 0.0407016202807426]"
126,We suddenly realized that we were _ air and couldn't think of a thing to do with this unexpected liberty.,free,"['on', 'breathing', 'sharing', 'without', 'wasting']","[0.1956882625818252, 0.116672970354557, 0.1120316833257675, 0.1002710536122322, 0.060696080327034]"
127,"This recipe is a _ pair of jeans and, we suppose, could be doctored with a handful of chocolate chips or shredded coconut, but why mess with perfection?",basic,"['basic', 'clean', 'faded', 'simple', 'tight']","[0.1895835846662521, 0.0632579922676086, 0.056241899728775, 0.0551889166235923, 0.0532742552459239]"
128,"If a business is centered around your individual talents, the need for good time management should be an _ slap in the face.",obvious,"['immediate', 'obvious', 'automatic', 'absolute', 'instant']","[0.1772665232419967, 0.1156855374574661, 0.0693357288837432, 0.0654778108000755, 0.0398818291723728]"
129,"When the two armies clashed the arrows flew in such clouds that they darkened the sky, the hooves of the chariot horses were like thunder upon Olympus, the brazen armour of the Atlanteans dazzled the eye and their spearheads seemed to be _ wheat growing in a field.",countless,"['like', 'resembling', 'giant', 'from', 'unlike']","[0.9313564300537108, 0.0076172351837158, 0.0071862372569739, 0.0049183801747858, 0.0026487514842301]"
130,"The new moon will arrive with Jupiter in close alignment, which is _ diamond.",rare,"['a', 'like', 'pure', 'cut', 'nearly']","[0.5382043719291687, 0.0581050105392932, 0.0258175041526556, 0.025393471121788, 0.0127727929502725]"
131,"However, fibroids can grow to be _ melon and when they get this big, they can cause a lot of pain and discomfort for the female.",big,"['a', 'pure', 'giant', 'super', 'large']","[0.8842711448669434, 0.0140660889446735, 0.0125222997739911, 0.0062661170959472, 0.0061038709245622]"
132,His eyes are _ fire from weeping.,red,"['on', 'red', 'orange', 'spitting', 'raging']","[0.8499694466590881, 0.0812269896268844, 0.0097606563940644, 0.0058482424356043, 0.0056496057659387]"
133,"The sky was overcast and as there was no wind, the lake was _ glass.",smooth,"['all', 'only', 'stained', 'sheet', 'mostly']","[0.2000725120306015, 0.0958474650979042, 0.064794473350048, 0.0566321983933448, 0.035295870155096]"
134,"When it comes to women in real life, I imagine she's a _ sheep.",gentle,"['sheep', 'black', 'helpless', 'poor', 'gentle']","[0.1775251179933548, 0.1714615821838379, 0.0715105310082435, 0.0651035010814666, 0.043352548032999]"
135,"Our last glimpse of her shows her at the window, watching them receding into the sky until they were _ stars.",small,"['##less', 'mere', 'only', 'tiny', 'distant']","[0.0799179524183273, 0.0645639300346374, 0.052685797214508, 0.0492216795682907, 0.0413825139403343]"
136,"They were approximately four kilometers away from the enemies, and the fire torches were _ firefly, and it was quite impossible for them to even see the figure carrying the torches.",bright,"['a', 'pure', 'every', 'like', '[PAD]']","[0.4411863982677459, 0.0984515696763992, 0.0681796073913574, 0.0534629076719284, 0.0199372693896293]"
137,"The creatures can reach an impressive 5,000 pounds and their thick skin is _ rubber.",tough,"['like', 'tough', 'almost', 'durable', 'synthetic']","[0.8771252036094666, 0.0403239466249942, 0.0096299545839428, 0.0050642886199057, 0.0047709438949823]"
138,"But he was a _ mule, and instead of snatching at her bait, in wet weather he took to smoking with Joseph.",stubborn,"['stubborn', 'pack', 'mule', 'poor', 'helpless']","[0.9125537872314452, 0.0095791267231106, 0.0044303126633167, 0.0036288164556026, 0.0032422039657831]"
139,"There's no danger, he translated, his eyes on the soothsayer's hands but the boar that we want is _ wind and as sharp as an eagle.",fast,"['the', 'swift', 'by', 'like', 'against']","[0.2483408451080322, 0.154671624302864, 0.0365830771625041, 0.0330884978175163, 0.0178035367280244]"
140,"Lola kept track of patients whose personalities were the _ weather (One minute Paul says he does not want his wife any more and the next he has changed his mind), she listened to their grievances (Josef thinks he is fit to work and look after himself says he is being kept a prisoner but he is very confused and deluded) and even mediated between doctors.",variable,"['same', 'worst', 'right', 'current', 'prevailing']","[0.2237160205841064, 0.213285744190216, 0.0382628627121448, 0.0361799374222755, 0.0352465733885765]"
141,Her back was a _ ramrod which made her feel a little more dignified while engaging in what she considered the unladylike art of cycling.,straight,"['straight', 'stiff', 'regular', 'smooth', 'rigid']","[0.6353592276573181, 0.2102654725313186, 0.0124200629070401, 0.0075185433961451, 0.006841208320111]"
142,The derelict remains of the old building were the _ weather and the bare trees dripped with melting frost like chilling tears.,bleak,"['worst', 'perfect', 'bad', 'deteriorating', 'same']","[0.8207079768180847, 0.0497013479471206, 0.0262169335037469, 0.0105746733024716, 0.0047450079582631]"
143,"When he went to look at Anna before going to school, her eyes were once more the _ sky and she curled her fingers round his as if she didn¡¦t want to let him go.",blue,"['blue', 'night', 'same', 'black', 'dark']","[0.7982601523399353, 0.1306464970111847, 0.013882765546441, 0.0072167082689702, 0.0045810202136635]"
144,"Sarah stayed outside a few minutes longer, her spirits lifting wonderously and she was a _ robin singing among the branches of the oak tree.",happy,"['robin', 'wild', 'happy', 'night', 'merry']","[0.3580082058906555, 0.0437553487718105, 0.0346839763224124, 0.0197701193392276, 0.0195550397038459]"
145,"When the sun played on her golden hair, it was the _ copper warming pan which Sarah put between the sheets on winter nights.",bright,"['hot', 'cold', 'giant', 'cheap', 'large']","[0.2075909227132797, 0.0516482889652252, 0.039038747549057, 0.0379940755665302, 0.0305837374180555]"
146,"When he was no more than knee high and a _ pencil, I dug him out of the wild river bank and planted him in a virginal garden, half an acre of island that consisted of nothing more luxurious or exotic than brick rubble, tilled chalk and grass seed.",slender,"['thick', 'thin', 'sharpened', 'slender', 'flint']","[0.590972363948822, 0.1038562059402465, 0.0628850162029266, 0.0145991127938032, 0.0128917098045349]"
147,"He made himself a _ lamb, hoping perhaps that they would give him an extra morsel of food or some other favour.",modest,"['modest', 'small', 'cheese', 'vegetarian', 'roast']","[0.0834649875760078, 0.0538948029279708, 0.0484837926924228, 0.0462514758110046, 0.0333712883293628]"
148,"The sense of disappointment was a _ blow, painful out of all proportion so much so that for a moment, I was almost angry with him for not being there.",sharp,"['physical', 'cruel', 'sharp', 'bitter', 'harsh']","[0.2771340012550354, 0.1135747134685516, 0.1039496287703514, 0.0754656791687011, 0.0674406737089157]"
149,You must be the _ reed in the fable lest by resisting the tempest like the oak you be torn up by the roots.,flexible,"['only', 'last', 'sole', 'principal', 'largest']","[0.4980963468551636, 0.1011835113167762, 0.070264920592308, 0.0238274987787008, 0.0176699124276638]"
150,"Her body went to be a _ bowstring and when she opened her eyes and looked into his, she saw their awestruck astonishment.",tense,"['stiff', 'rigid', 'tight', 'tense', '[PAD]']","[0.2938089370727539, 0.1502255797386169, 0.1152845919132232, 0.0873034968972206, 0.0146248592063784]"
151,"He felt he was a _ kitten, but the fever and nausea were gone.",weak,"['weak', 'newborn', 'helpless', 'nervous', 'sick']","[0.1778069585561752, 0.1175178438425064, 0.1097826659679412, 0.0839039161801338, 0.076949194073677]"
152,The big wooden table had been scrubbed into a _ bone on the seashore.,white,"['dry', 'raw', 'smooth', 'whale', 'bare']","[0.2811863720417022, 0.063941590487957, 0.061930064111948, 0.0437527112662792, 0.0353402011096477]"
153,"From then on, his manner towards me was _ ice, which caused me great pain.",cold,"['like', 'cold', 'pure', 'slippery', 'ice']","[0.7938631176948547, 0.0496992282569408, 0.0342592671513557, 0.0303260199725627, 0.0149051183834671]"
154,"The bell-lamp in the passage was a _ soap-bubble, you could see yourself in all the tables and French-polish yourself on any one of the chairs.",clear,"['soap', 'clear', 'giant', 'clean', 'bubble']","[0.2029162496328354, 0.1716449856758117, 0.0565667264163494, 0.0468056574463844, 0.0268191583454608]"
155,The sweater was a _ puff and as smooth as a bird to touch.,light,"['soft', 'light', 'white', 'little', 'small']","[0.2298674285411834, 0.2144306898117065, 0.0546815171837806, 0.0480512231588363, 0.0248971916735172]"
156,"The nine women came behind her, their footfalls were _ birds'.",light,"['like', 'from', 'bird', 'regular', 'birds']","[0.6911594867706299, 0.0651066899299621, 0.028728624805808, 0.0108883343636989, 0.0061290767043828]"
157,"Lieutenant Webster the Duke's voice was a _ sword in winter, four horses instantly to the Prince of Orange 's carriage.",cold,"['cold', 'sharp', 'harsh', 'steel', 'deadly']","[0.4846584498882293, 0.0642081275582313, 0.058915689587593, 0.026074880734086, 0.0163017511367797]"
158,"On the other hand, he had to be _ granite inside, harder even than a brutally flamboyant exhibitionist such as Obispal - since Jaq was a guardian of those who guarded humanity an investigator of the investigators.",hard,"['hard', 'tough', 'solid', 'harder', 'cold']","[0.4889028072357178, 0.1811191588640213, 0.0717714950442314, 0.0357368923723697, 0.0351149998605251]"
159,They held each other soberly and Anna noticed he was a _ ruler all bone.,thin,"['thin', 'bone', 'bald', 'slender', 'weak']","[0.4452998340129852, 0.0469317063689231, 0.0404182448983192, 0.0223460588604211, 0.016582254320383]"
160,"It was not surprising that Benny had been an _ hen, walking on hot coals all summer long, never able to keep still, always jumping up with some further excitement.",excited,"['excited', 'oven', 'old', 'easter', 'abandoned']","[0.0797987729310989, 0.076188176870346, 0.0569265335798263, 0.0557268038392066, 0.0425262749195098]"
161,"To the Romanian audience for these trials (which were broadcast live on television), the lists of cartons of cigarettes or kilos of refrigerated meat were the _ tales of the riches of the Sultan in One Thousand and One Nights.",fascinating,"['tell', 'fascinating', 'fairy', '##ld', 'telling']","[0.1183192804455757, 0.0672233030200004, 0.0661017522215843, 0.0302661284804344, 0.0276222452521324]"
162,"I wanted to express what a simple thing, death and burial is just the _ falling of a leaf - just a bit of earth dug up a wooden cross.",simple,"['simple', 'mere', 'ordinary', 'gentle', 'final']","[0.4006954729557037, 0.1829934269189834, 0.0665260851383209, 0.046445082873106, 0.0333885364234447]"
163,"During our set, the sky grew gradually darker and darker until by the last number, the sky was the _ ceiling of the Camden Falcon.",black,"['vaulted', 'domed', 'perfect', 'sheer', 'black']","[0.1067676767706871, 0.0391104407608509, 0.0345659330487251, 0.0292226374149322, 0.0240777172148227]"
164,"Levy's voice is a _ shag on the floor of a sandpaper factory, the lyric is utterly ridiculous describing the popularity and stylishness of a certain fashionable item and the soprano sax added to that tender little guitar lick from the Arrested Development record just upsets your soul.",rough,"['rough', 'soft', 'smooth', 'dull', 'harsh']","[0.3321532607078552, 0.0683156177401542, 0.0489180497825145, 0.0382979474961757, 0.0328466296195983]"
165,"For emotional resonance, flags are a _ quadrilateral of cloth.",potent,"['large', 'thick', 'giant', 'common', 'complex']","[0.0785908922553062, 0.0755376741290092, 0.0602814629673957, 0.0456935688853263, 0.0392116829752922]"
166,"Don't call me that you great jerk, said Perdita, hammering her fists against his chest which was the _ ground outside.",hard,"['solid', 'cold', 'frozen', 'dangerous', 'hard']","[0.2001813203096389, 0.0871688053011894, 0.0816524773836135, 0.0630212724208831, 0.0558553747832775]"
167,"When Mr Wormwood arrived back from the garage that evening, his face was a _ thunder-cloud and somebody was clearly for the high-jump pretty soon.",dark,"['dark', 'black', 'grey', 'white', 'thick']","[0.3836733102798462, 0.0839913785457611, 0.0252153445035219, 0.0249011702835559, 0.0195511933416128]"
168,"Plus they rely far too heavily on Chad Gracey's bionic drumming to get them noticed the tinny snare effect, soon becoming an_ catfight underneath your window at 3.00 am.",annoying,"['animal', 'ugly', 'annoying', 'ongoing', 'effective']","[0.1037542596459388, 0.0846739262342453, 0.077906996011734, 0.0448011122643947, 0.0391546338796615]"
169,"Thin and tiny in stature, her back was a _ arrow, but her legs often pained her in the cooler winter and spring weather. ",straight,"['straight', 'sharp', 'natural', 'stiff', 'slender']","[0.9825865030288696, 0.003372645471245, 0.0024336960632354, 0.0010144390398636, 0.0007676822715438]"
170,"He was a _ cat, having licked the cream, while Eleanor held his hand and looked concerned.",smug,"['lazy', 'nervous', 'hungry', 'gentle', 'smug']","[0.1769395470619201, 0.1206549257040023, 0.0755138546228408, 0.0371041484177112, 0.0248380154371261]"
171,We can hardly tell the Finance and Executive Committee that the British are unreliable at the vehicle plants but they are the _ Rock of Gibraltar when it comes to components.,solid,"['solid', 'hard', 'foundation', 'steady', 'standing']","[0.8694097995758057, 0.0240540765225887, 0.0226060897111892, 0.0078790476545691, 0.0046156919561326]"
172,"They carted him like a scarecrow, his heels scoring the gravel, but he was a _ pig in a cart, he would never squeal without a hard prod; Donald Stewart the blacksmith had to grip his wrist to make him sign the paper.",stubborn,"['stubborn', 'guinea', 'lazy', 'loyal', 'worthless']","[0.668842613697052, 0.1213929131627082, 0.0117791695520281, 0.011245809495449, 0.0088181952014565]"
173,Her face became a _ icon as if she had momentarily glimpsed the old customs of Irkutsk: a bridal party bearing skates of bone and bodices of the finest needle-point standing on the southern shore and looking across Baikal; a sallow-faced groom from Chita smoothing his first moustache and pacing the deck of an ice-locked paddle-steamer.,bright,"['new', 'bright', '[PAD]', 'christmas', 'colorful']","[0.1998814344406128, 0.0513094700872898, 0.0254886504262685, 0.0254206527024507, 0.0244627557694911]"
174,A virus is a _ bullet or a shell.,neutral,"['single', 'poison', 'live', 'lethal', 'virus']","[0.1158894672989845, 0.0700194835662841, 0.0689897686243057, 0.0479355677962303, 0.0346650183200836]"
175,He had been a cheerful fellow in those days and life was a _ laugh on the wind or the carelessly squandered words of a song.,trivial,"['careless', 'cruel', 'idle', 'cheap', 'foul']","[0.6081352233886719, 0.0335789546370506, 0.0306562632322311, 0.0297225341200828, 0.0179684981703758]"
176,The atmosphere here is _ mud she said.,thick,"['pure', 'clear', 'mud', 'thick', 'like']","[0.1465253829956054, 0.0872464999556541, 0.0690869390964508, 0.0617777705192565, 0.0461707189679145]"
177,Her writing is a _ sculpture and as steady and unobtrusive as breathing.,whole,"['solid', 'delicate', 'mere', 'living', 'monumental']","[0.0505153536796569, 0.0499532185494899, 0.0388786792755126, 0.037928145378828, 0.0306831467896699]"
178,"On the other hand, I've been a _ turkey in January and all because of a story I spotted in a medical magazine, stating that regular lashings of oily fish cut sharply your chances of having a heart attack.",happy,"['cold', 'thanksgiving', 'roast', 'frozen', 'sour']","[0.2724732458591461, 0.2189845442771911, 0.1353107541799545, 0.1049529686570167, 0.0283939875662326]"
179,"If the water is frozen and shifts as a glacier, then it can carry entire boulders which are _ hotels hundreds of miles and gouge great scars.",big,"['hotel', '[PAD]', 'in', 'from', 'luxury']","[0.1749447584152221, 0.0965687185525894, 0.0855717062950134, 0.0468362867832183, 0.036744050681591]"
180,"I do not know whether we dragons loved her or hated her; her will was like iron, as fast clad as our scaled hides, but her heart was like a songbird in the morning and she was the _ lilies of the field.",lovely,"['wild', 'beautiful', 'sweet', 'living', 'lovely']","[0.1218437626957893, 0.0948237180709838, 0.0607825741171836, 0.042785745114088, 0.0342058539390563]"
181,"No matter how carefully he sliced each shovelful in an arc out on the wind, there were certain unpredictable gusts that lifted the grains and blew them back towards the tractor. By evening, his clothes were filthy with lime; his face and hands, which are _ chalk, accentuating the inflamed red round his eyes.",white,"['white', 'black', 'painted', 'chalk', 'dry']","[0.478052943944931, 0.0786357969045639, 0.0436276383697986, 0.0354363918304443, 0.0301138814538717]"
182,"Heaps of faded, yellowing newspaper cuttings - their arguments are the _ foundations of the front-line ruins - are there to prove our lack of comprehension.",flawed,"['very', 'solid', 'flawed', 'theoretical', 'basic']","[0.1427121609449386, 0.0735747367143631, 0.0448078960180282, 0.0411160364747047, 0.0291035771369934]"
183,For several minutes Morse looked down at the turbid turgid river and his thoughts were the _ waters below him,restless,"['calm', 'dark', 'churning', 'crashing', 'turbulent']","[0.0897419601678848, 0.0711273327469825, 0.0635124742984771, 0.0555876605212688, 0.0533167943358421]"
184,The compulsion to get away and not look back was a _ hand on her shoulder urging her forward.,strong,"['strong', 'gentle', 'heavy', 'firm', 'solid']","[0.573992908000946, 0.1339128166437149, 0.0596157610416412, 0.0354689471423625, 0.0171438623219728]"
185,His tone was the _ weather outside.,icy,"['icy', 'cold', 'perfect', 'calm', 'stormy']","[0.2385235726833343, 0.0992145985364914, 0.0627855956554412, 0.0533651262521743, 0.0443589054048061]"
186,Heathcliff dropped his candle and stood without moving. His face was the _ wall behind him.,white,"['blank', 'brick', 'stone', 'white', 'rock']","[0.3948972523212433, 0.263941079378128, 0.0595441982150077, 0.0284652393311262, 0.0246108006685972]"
187,Every year is _ clockwork ever since I've been here and that's eight years.,regular,"['like', 'regular', 'ticking', 'clock', 'perfect']","[0.7787430286407471, 0.0734219700098037, 0.0182936824858188, 0.0115441083908081, 0.0092708757147192]"
188,"Gage might look and act like a bronco in his den, hates to go back but set him free in a pen and he will be a _ lamb and a sweet dove .",calm,"['gentle', 'modest', 'kind', 'loyal', 'tender']","[0.5114181637763977, 0.078381709754467, 0.0592685118317604, 0.0378752388060092, 0.0352152362465858]"
189,You will be a _ piece of dirt on the sole of my shoe.,worthless,"['worthless', 'fine', 'miserable', 'tiny', 'big']","[0.7480325698852539, 0.0243615042418241, 0.0185988917946815, 0.0178968217223882, 0.0176536366343498]"
190,"Wearing the suit, she weighed three hundred kilos and felt like being a _ rhinoceros; as soon as she was outside she¡¦d feel almost weightless, and the suit¡¦s systems would give her the strength of a robot while hardly affecting the speed and ease of her movements.",graceful,"['hungry', 'giant', 'helpless', 'white', 'mounted']","[0.2862568795681, 0.0962513387203216, 0.0321643352508544, 0.0292887389659881, 0.0268172416836023]"
191,"She is a _ lamb and while most people are cautious when meeting her, they soon think she's wonderful.",gentle,"['gentle', 'modest', 'loyal', 'good', 'kind']","[0.7706798315048218, 0.0868730545043945, 0.0331826917827129, 0.0100720934569835, 0.0055494685657322]"